2024-10-07 03:58:48 startup archives unpack
2024-10-07 03:58:49 install perl-modules-5.36:all <none> 5.36.0-7+deb12u1
2024-10-07 03:58:49 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-10-07 03:58:50 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-10-07 03:58:51 install libgdbm6:amd64 <none> 1.23-3
2024-10-07 03:58:51 status triggers-pending libc-bin:amd64 2.36-9+deb12u8
2024-10-07 03:58:51 status half-installed libgdbm6:amd64 1.23-3
2024-10-07 03:58:51 status unpacked libgdbm6:amd64 1.23-3
2024-10-07 03:58:51 install libgdbm-compat4:amd64 <none> 1.23-3
2024-10-07 03:58:51 status half-installed libgdbm-compat4:amd64 1.23-3
2024-10-07 03:58:51 status unpacked libgdbm-compat4:amd64 1.23-3
2024-10-07 03:58:51 install libperl5.36:amd64 <none> 5.36.0-7+deb12u1
2024-10-07 03:58:51 status half-installed libperl5.36:amd64 5.36.0-7+deb12u1
2024-10-07 03:58:53 status unpacked libperl5.36:amd64 5.36.0-7+deb12u1
2024-10-07 03:58:53 install perl:amd64 <none> 5.36.0-7+deb12u1
2024-10-07 03:58:53 status half-installed perl:amd64 5.36.0-7+deb12u1
2024-10-07 03:58:53 status unpacked perl:amd64 5.36.0-7+deb12u1
2024-10-07 03:58:54 install liblocale-gettext-perl:amd64 <none> 1.07-5
2024-10-07 03:58:54 status half-installed liblocale-gettext-perl:amd64 1.07-5
2024-10-07 03:58:54 status unpacked liblocale-gettext-perl:amd64 1.07-5
2024-10-07 03:58:54 install libssl3:amd64 <none> 3.0.14-1~deb12u2
2024-10-07 03:58:54 status half-installed libssl3:amd64 3.0.14-1~deb12u2
2024-10-07 03:58:55 status unpacked libssl3:amd64 3.0.14-1~deb12u2
2024-10-07 03:58:55 install libpython3.11-minimal:amd64 <none> 3.11.2-6+deb12u3
2024-10-07 03:58:55 status half-installed libpython3.11-minimal:amd64 3.11.2-6+deb12u3
2024-10-07 03:58:55 status unpacked libpython3.11-minimal:amd64 3.11.2-6+deb12u3
2024-10-07 03:58:56 install libexpat1:amd64 <none> 2.5.0-1+deb12u1
2024-10-07 03:58:56 status half-installed libexpat1:amd64 2.5.0-1+deb12u1
2024-10-07 03:58:56 status unpacked libexpat1:amd64 2.5.0-1+deb12u1
2024-10-07 03:58:56 install python3.11-minimal:amd64 <none> 3.11.2-6+deb12u3
2024-10-07 03:58:56 status half-installed python3.11-minimal:amd64 3.11.2-6+deb12u3
2024-10-07 03:58:57 status unpacked python3.11-minimal:amd64 3.11.2-6+deb12u3
2024-10-07 03:58:57 startup packages configure
2024-10-07 03:58:57 configure libssl3:amd64 3.0.14-1~deb12u2 <none>
2024-10-07 03:58:57 status unpacked libssl3:amd64 3.0.14-1~deb12u2
2024-10-07 03:58:57 status half-configured libssl3:amd64 3.0.14-1~deb12u2
2024-10-07 03:58:57 status installed libssl3:amd64 3.0.14-1~deb12u2
2024-10-07 03:58:57 configure libpython3.11-minimal:amd64 3.11.2-6+deb12u3 <none>
2024-10-07 03:58:57 status unpacked libpython3.11-minimal:amd64 3.11.2-6+deb12u3
2024-10-07 03:58:57 status half-configured libpython3.11-minimal:amd64 3.11.2-6+deb12u3
