2024-09-04 23:08:33 startup archives unpack
2024-09-04 23:08:33 install netbase:all <none> 6.4
2024-09-04 23:08:33 status half-installed netbase:all 6.4
2024-09-04 23:08:33 status unpacked netbase:all 6.4
2024-09-04 23:08:33 install libssl3:amd64 <none> 3.0.14-1~deb12u2
2024-09-04 23:08:33 status triggers-pending libc-bin:amd64 2.36-9+deb12u8
2024-09-04 23:08:33 status half-installed libssl3:amd64 3.0.14-1~deb12u2
2024-09-04 23:08:33 status unpacked libssl3:amd64 3.0.14-1~deb12u2
2024-09-04 23:08:33 install openssl:amd64 <none> 3.0.14-1~deb12u2
2024-09-04 23:08:33 status half-installed openssl:amd64 3.0.14-1~deb12u2
2024-09-04 23:08:33 status unpacked openssl:amd64 3.0.14-1~deb12u2
2024-09-04 23:08:33 install ca-certificates:all <none> 20230311
2024-09-04 23:08:33 status half-installed ca-certificates:all 20230311
2024-09-04 23:08:33 status unpacked ca-certificates:all 20230311
2024-09-04 23:08:33 startup packages configure
2024-09-04 23:08:33 configure libssl3:amd64 3.0.14-1~deb12u2 <none>
2024-09-04 23:08:33 status unpacked libssl3:amd64 3.0.14-1~deb12u2
2024-09-04 23:08:33 status half-configured libssl3:amd64 3.0.14-1~deb12u2
2024-09-04 23:08:33 status installed libssl3:amd64 3.0.14-1~deb12u2
2024-09-04 23:08:33 configure netbase:all 6.4 <none>
2024-09-04 23:08:33 status unpacked netbase:all 6.4
2024-09-04 23:08:33 status half-configured netbase:all 6.4
2024-09-04 23:08:33 status installed netbase:all 6.4
2024-09-04 23:08:33 configure openssl:amd64 3.0.14-1~deb12u2 <none>
2024-09-04 23:08:33 status unpacked openssl:amd64 3.0.14-1~deb12u2
2024-09-04 23:08:33 status half-configured openssl:amd64 3.0.14-1~deb12u2
2024-09-04 23:08:33 status installed openssl:amd64 3.0.14-1~deb12u2
2024-09-04 23:08:33 configure ca-certificates:all 20230311 <none>
2024-09-04 23:08:33 status unpacked ca-certificates:all 20230311
2024-09-04 23:08:33 status half-configured ca-certificates:all 20230311
2024-09-04 23:08:34 status installed ca-certificates:all 20230311
2024-09-04 23:08:34 status triggers-pending ca-certificates:all 20230311
2024-09-04 23:08:34 trigproc libc-bin:amd64 2.36-9+deb12u8 <none>
2024-09-04 23:08:34 status half-configured libc-bin:amd64 2.36-9+deb12u8
2024-09-04 23:08:34 status installed libc-bin:amd64 2.36-9+deb12u8
2024-09-04 23:08:34 trigproc ca-certificates:all 20230311 <none>
2024-09-04 23:08:34 status half-configured ca-certificates:all 20230311
2024-09-04 23:08:35 status installed ca-certificates:all 20230311
